aut;trad;ini;num;yr;gen
Ed. and J. de Goncourt;anon no;7;1;1;gacetilla
Hippolyte Taine;anon no;5;2;1;gacetilla
Alphonse Daudet;Enrique Gomez Carrillo;6;2;1;prosa
Ed. and J. de Goncourt;anon no;8;2;1;gacetilla
Alfred de Musset;anon no;4;3;1;gacetilla
Marcel Prevost;anon si;7;3;1;prosa
Theodore de Banville;anon no;15;3;1;prosa
Hippolyte Taine;anon no;15;3;1;gacetilla
Jean Richepin;anon no;7;4;1;prosa
Alfred de Musset;anon no;10;4;1;gacetilla
Hippolyte Taine;anon no;12;4;1;gacetilla
Ed. and J. de Goncourt;anon no;5;5;1;gacetilla
Jean Richepin;anon no;9;5;1;prosa
[Anonymous];Joaquin Trejo;13;5;1;poesia
Paul Bourget;anon no;13;5;1;gacetilla
Theophile Gauthier;Nicanor Bolet Peraza;14;5;1;prosa
Alfred de Musset;anon no;2;6;1;gacetilla
Hippolyte Taine;anon no;6;6;1;gacetilla
Honore de Balzac;anon no;13;6;1;gacetilla
Paul Bourget;anon no;13;6;1;gacetilla
Emile Zola;anon no;14;6;1;prosa
Paul Bourget;anon no;2;7;1;gacetilla
Aurelien Scholl;anon no;6;7;1;prosa
Hippolyte Taine;anon no;7;7;1;gacetilla
Ed. and J. de Goncourt;anon no;11;7;1;gacetilla
Paul Bourget;anon no;2;8;1;gacetilla
Jose-Maria de Heredia;Justo Sierra;3;8;1;poesia
Georges Courtelines;anon no;5;8;1;prosa
Francois Coppee;anon no;16;8;1;gacetilla
Jose-Maria de Heredia;Justo Sierra;3;9;1;poesia
Alfred de Musset;Emilio Rabasa;5;9;1;poesia
Pierre Loti;anon no;7;9;1;prosa
Jules Lemaitre;anon no;10;9;1;prosa
Paul Bourget;anon no;4;10;1;gacetilla
Francois Coppee;anon no;7;10;1;prosa
Alfred de Musset;anon no;11;10;1;gacetilla
Charles Baudelaire;anon no;7;11;1;poesia
Giosue Carducci;Fernangrana;8;11;1;poesia
Catulle Mendes;anon no;8;11;1;prosa
Paul Bourget;anon no;13;11;1;gacetilla
Ivan Turgenev;anon no;14;11;1;prosa
Alfred de Musset;anon no;16;11;1;gacetilla
Jean Reibrach (Jean Chabrier);anon no;11;12;1;prosa
Francois Coppee;anon si;13;12;1;prosa
Eugene Chavette;anon no;8;13;1;drama
Rene Maizeroy;anon no;12;13;1;prosa
Emile Bergerat;anon no;14;13;1;prosa
Alfred de Musset;anon no;15;13;1;gacetilla
Emile Zola;anon no;5;14;1;gacetilla
Paul Bourget;anon no;7;14;1;gacetilla
Paul Ginisty;anon no;14;14;1;prosa
Ernest Renan;anon no;2;15;1;prosa
Leconte de Lisle;Balbino Davalos;4;15;1;poesia
Paul Bourget;anon no;5;15;1;prosa
Andre Chenier;Marcelino Menendez Pelayo;6;15;1;poesia
Jules Lemaitre;anon no;11;15;1;prosa
Jean-Baptiste Alphonse Karr;anon no;2;16;1;gacetilla
Jules Favre;anon no;2;16;1;gacetilla
Jean Richepin;anon no;8;16;1;prosa
Giacomo Leopardi;Calixto Oyuela;10;16;1;poesia
Giacomo Meyerbeer;anon no;10;17;1;gacetilla
Emile Zola;anon no;10;17;1;gacetilla
Max Nordau;anon no;14;17;1;gacetilla
Paul Bourget;anon no;15;17;1;prosa
Alfred de Musset;anon no;7;18;1;gacetilla
Jean Lahor;Balbino Davalos;8;18;1;poesia
Doctor Rugby;Guillermo Petersen;8;18;1;prosa
Hugues Rebell (Georges Grassal de Choffat);anon no;11;18;1;prosa
Francois Coppee;anon no;12;18;1;gacetilla
Johann Wolfgang von Goethe;anon no;10;19;1;gacetilla
Victor Cherbuliez;anon no;10;19;1;gacetilla
Pierre Loti;anon no;14;19;1;prosa
Auguste Genin;Balbino Davalos;4;20;1;poesia
Alexandre Dumas;anon no;7;20;1;gacetilla
Edmond About;anon no;7;20;1;gacetilla
Pierre-Jean de Beranger;anon no;7;20;1;gacetilla
Paul Bourget;anon no;10;20;1;gacetilla
Camille Flammarion;anon no;13;20;1;prosa
Paul Bourget;anon no;2;21;1;gacetilla
Giosue Carducci;Enrique Fernandez Granados;6;21;1;poesia
Ivan Turgenev;anon no;9;21;1;prosa
Johann Wolfgang von Goethe;Teodoro Llorente;11;21;1;drama
Paul Arene;anon no;12;21;1;prosa
Lev Tolstoy;anon no;13;21;1;prosa
William Shakespeare;Jose M. Roa Barcena;3;22;1;drama
Emile Zola;anon no;6;22;1;gacetilla
Alfred de Musset;anon no;9;22;1;gacetilla
Alfred de Musset;anon no;9;22;1;gacetilla
Adolphe Belot;anon no;9;22;1;gacetilla
Giosue Carducci;Enrique Fernandez Granados;3;23;1;poesia
Vincenzo Monti;Francisco G. Cosmes;5;23;1;poesia
Leon Cladel;anon si;10;23;1;prosa
Ed. and J. de Goncourt;anon no;12;23;1;gacetilla
Carmen Silva;anon no;12;24;1;prosa
Robert Bulwer-Lytton;C. del Collado;3;25;1;poesia
Jules Lemaitre;anon no;5;25;1;prosa
Arsene Houssaye;anon no;9;25;1;gacetilla
Alexandre Dumas fils;anon no;9;25;1;gacetilla
Johann Wolfgang von Goethe;anon no;9;25;1;gacetilla
Alphonse de Lamartine;anon no;9;25;1;gacetilla
Catulle Mendes;anon no;12;25;1;prosa
Max Nordau;anon no;2;26;1;gacetilla
Jules Noriac;anon no;2;26;1;gacetilla
William Cullen Bryant;Ignacio Mariscal;3;26;1;poesia
Max Nordau;anon no;8;26;1;prosa
Alfred de Musset;anon no;9;26;1;gacetilla
Francois Fenelon;anon no;9;26;1;gacetilla
Felix Arvers;Abu Beker (seudonimo);10;26;1;poesia
no hay;no hay;;27;2;no hay
Jean-Baptiste Alphonse Karr;anon no;9;28;2;gacetilla
Ernest Renan;anon no;9;28;2;gacetilla
Paul Bourget;anon no;9;28;2;gacetilla
Jules Simon;anon no;9;28;2;gacetilla
Theophile Gautier;anon no;9;28;2;gacetilla
Victor Cherbuliez;anon no;13;28;2;gacetilla
Charles de Sivry;anon no;8;29;2;prosa
Victor Hugo;Luz Murguia de Ramirez;9;29;2;poesia
Horace;Milk ( Fernando Juanes Gonzalez Gutierrez);6;30;2;poesia
Jean Lahor;Enrique Fernandez Granados;9;30;2;poesia
Ed. and J. de Goncourt;anon no;14;30;2;prosa
Henry Wadsworth Longfellow;Diego Fallon;3;31;2;poesia
Heinrich Heine;Alberto Ituarte;11;31;2;poesia
Jean Richepin;anon no;6;31;2;prosa
Paul Bourget;anon no;13;31;2;prosa
Camille Bellaigue;anon no;14;31;2;prosa
Alexandre Dumas fils;anon no;9;32;2;prosa
Alexandre Dumas fils;anon no;6;33;2;prosa
Eugene Melchior de Vogue;anon si;4;34;2;prosa
Francois-Rene de Chateaubriad ;anon no;8;34;2;gacetilla
Jean-Baptiste Alphonse Karr;anon no;8;34;2;gacetilla
Ernest Renan;anon si;11;34;2;prosa
Paul Bourget;anon si;4;35;2;prosa
Alexandre Dumas fils;anon no;10;35;2;prosa
Victor Hugo;Leopoldo Diaz;5;36;2;poesia
Francois Coppee;anon si;5;36;2;prosa
Victor Hugo;Ismael Enrique Arciniegas.;8;36;2;poesia
Jean Lahor;Balbino Davalos;11;36;2;poesia
Paul Feval;anon no;14;36;2;gacetilla
Victor Hugo;anon no;14;36;2;gacetilla
Victor Hugo;anon no;14;36;2;gacetilla
Lev Tolstoy;anon no;15;36;2;prosa
Francois Coppee;anon si;10;37;2;prosa
Aphonse de Lamartine;anon no;13;37;2;gacetilla
Albert Delpit;anon no;15;37;2;prosa
Francois Coppee;anon si;4;38;2;prosa
Pierre-Jean de Beranger;Rafael Pombo;12;38;2;poesia
Paul Bourget;anon no;15;38;2;gacetilla
Victor Hugo;anon no;2;39;2;gacetilla
Edouard Pailleron;anon no;2;39;2;gacetilla
Honoré de Balzac;anon no;2;39;2;gacetilla
Georges Sand;anon no;2;39;2;gacetilla
Paul Bourget;anon no;12;39;2;prosa
Leconte de Lisle;J. Gabriel Malda;15;39;2;poesia
Armand Silvestre;anon no;15;39;2;prosa
Paul Bourget;anon no;3;40;2;gacetilla
Stendhal;anon no;3;40;2;gacetilla
no hay;no hay;;41;2;no hay
Catulle Mendes;anon si;3;42;2;prosa
Victor Hugo;anon no;12;42;2;prosa
Olindo Guerrini;Enrique Fernandez Granados;13;42;2;poesia
Guy de Maupassant;anon no;15;42;2;prosa
Alfred de Musset;anon no;6;43;2;prosa
Catulle Mendes;anon si;11;43;2;prosa
Pierre Loti;anon no;5;44;2;prosa
Guy de Maupassant;anon no;15;44;2;prosa
Alphonse Daudet;anon no;8;45;2;prosa
Henri Lavedan;anon si;14;45;2;prosa
Gyp (Sibylle Riquetti de Mirabeau);anon si;4;46;2;drama
Jean Lahor;Balbino Davalos;13;46;2;poesia
Jean Richepin;anon no;14;46;2;prosa
Paul Bourget;anon no;6;47;2;gacetilla
Theophile Gautier;anon si;7;47;2;poesia
Jules Lemaitre;anon si;8;47;2;prosa
Jean Baptiste Say;anon no;10;47;2;gacetilla
Jean-Baptiste Alphonse Karr;anon no;10;47;2;gacetilla
Alphonse Daudet;anon no;10;47;2;gacetilla
Catulle Mendes;anon no;13;47;2;prosa
Pierre Loti;anon si;3;48;2;prosa
