aut;trad;ini;num;yr;iniper;gen;nac;lengori
Theophile Gautier;Balbino Davalos;1;1;1;6;poesia;French;French
Rene Maizeroy;anon no;13;1;1;81;prosa;French;French
Catulle Mendes;Alberto Leduc;2;2;1;13;prosa;French;French
Pierre Louys;Jose Juan Tablada;10;2;1;63;poesia;French;French
no hay;no hay;;3;1;;no hay;no hay;no hay
no hay;no hay;;4;1;;no hay;no hay;no hay
Poe / Mallarme;Rasch [pseudonym];8;5;1;50;poesia;US/French;English
Ernest La Jeunesse;Rasch [pseudonym];11;5;1;69;prosa;French;French
Catulle Mendes;Alberto Leduc;12;5;1;75;prosa;French;French
no hay;no hay;;6;1;;no hay;no hay;no hay
Jean Richepin;Balbino Davalos;1;7;1;6;poesia;French;French
Stephane Mallarme;Rasch [pseudonym];10;7;1;63;poesia;French;French
Catulle Mendes;Alberto Leduc;12;7;1;75;prosa;French;French
E. and J. de Goncourt;anon si;13;7;1;81;prosa;French;French
Marcel Schwob;anon si;14;7;1;88;poesia;French;French
Rene Maizeroy;anon si;14;7;1;88;prosa;French;French
E. and J. de Goncourt;anon si;15;7;1;94;prosa;French;French
Poe / Mallarme;anon si;16;7;1;100;poesia;US/French;English
J. M. de Heredia;Justo Sierra;1;8;1;6;poesia;Spanish (Cuban) and French;French
Foscolo;Enrique Fernandez Granados;11;8;1;69;poesia;Italian;Italian
Theophile Gautier;Balbino Davalos;12;8;1;75;poesia;French;French
Giosue Carducci;Enrique Fernandez Granados;15;8;1;94;poesia;Italian;Italian
J. K. Huysmans;Alberto Leduc;16;8;1;100;prosa;French;French
Remy de Gourmont;anon no;2;9;1;13;prosa;French;French
Victor Hugo;Jose Juan Tablada;4;9;1;25;poesia;French;French
no hay;no hay;;10;1;;no hay;no hay;no hay
Paul Margueritte;Alberto Leduc;11;11;2;34;prosa;French;French
Leconte de Lisle;Balbino Davalos;18;12;2;56;poesia;French;French
Charles Baudelaire;Antenor Lescano;31;12;2;97;poesia;French;French
Paul Margueritte;anon no;32;12;2;100;prosa;French;French
J. M. de Heredia;Jose Juan Tablada;10;13;2;31;poesia;Spanish (Cuban) and French;French
Lucretius;Justo Sierra;21;13;2;66;poesia;Roman;Latin
Oscar Wilde;D. H.;22;13;2;69;poesia;Irish;English
Paul Verlaine;Balbino Davalos;27;13;2;84;poesia;French;French
Octave Mirbeau;anon si;28;13;2;88;prosa;French;French
Remy de Gourmont;anon no;13;14;2;41;prosa;French;French
Rachilde;anon no;23;14;2;72;prosa;French;French
Maurice Rollinat;anon no;26;14;2;81;poesia;French;French
Jean Lahor;Balbino Davalos;16;15;2;50;poesia;French;French
J. M. de Heredia;Justo Sierra;19;15;2;59;poesia;Spanish (Cuban) and French;French
Hermann Sudermann;anon no;20;15;2;63;prosa;German;German
Pasquale Papa;Enrique Fernandez Granados;24;15;2;75;poesia;Italian;Italian
Jean Richepin;anon si;24;15;2;75;prosa;French;French
Francois Coppee;anon si;28;15;2;88;prosa;French;French
Octave Mirbeau;anon no;13;16;2;41;prosa;French;French
Paul Adam;anon no;15;16;2;47;prosa;French;French
Anatole France;anon no;16;16;2;50;prosa;French;French
Edmond Haraucourt;anon no;23;16;2;72;prosa;French;French
Jules Renard;anon no;31;16;2;97;prosa;French;French
Paul Verlaine;Rafael de Alba;32;16;2;100;poesia;French;French
G. Maspero;anon si;5;17;2;16;prosa;French;French
Anatole France;anon no;12;17;2;38;prosa;French;French
Francois Carry;anon no;14;17;2;44;prosa;French;French
Longfellow;Diego Fallon;21;17;2;66;poesia;US;English
E. and J. de Goncourt;anon no;27;17;2;84;prosa;French;French
Jean Lahor;Enrique Fernandez Granados;28;17;2;88;poesia;French;French
Jean Lahor;Balbino Davalos;16;18;2;50;poesia;French;French
Jean Richepin;anon no;27;18;2;84;prosa;French;French
J. M. de Heredia;Joaquin D. Casasus;5;19;2;16;poesia;Spanish (Cuban) and French;French
Jean Richepin;anon no;6;19;2;19;prosa;French;French
Octave Uzanne;anon no;10;19;2;31;prosa;French;French
W. C. Bryant;Ignacio Mariscal;12;19;2;38;poesia;US;English
Lev Tolstoy;anon no;15;19;2;47;prosa;Russian;Russian
Victor Hugo;Leopoldo Diaz;16;19;2;50;poesia;French;French
[Anonymous];Alberto Ituarte;17;19;2;53;poesia;Unidentified;Unidentified
Jules Claretie;anon no;18;19;2;56;prosa;French;French
Eugene Chavette;anon no;24;19;2;75;drama;French;French
Lamartine;Manuel de Olaguibel;26;19;2;78;poesia;French;French
B. H. Gausseron;Bernardo Couto Castillo;2;20;2;6;prosa;French;French
A. C. Swinburne;anon no;11;20;2;34;poesia;English;English
F. Nietzsche;anon no;12;20;2;38;prosa;German;German
Sully Prudhomme;Francisco M. de Olaguibel;16;20;2;50;poesia;French;French
Alexander Pushkin;anon no;18;20;2;56;poesia;Russian;Russian
Anatole France;anon no;19;20;2;59;prosa;French;French
J. M. de Heredia;J. A. de Izcue;20;20;2;63;poesia;Spanish (Cuban) and French;French
Lev Tolstoy;anon no;20;20;2;63;prosa;Russian;Russian
Madame Desbordes Valmore;Manuel de Olaguibel;23;20;2;72;poesia;French;French
J. M. de Heredia;J. A. de Izcue;31;20;2;97;poesia;Spanish (Cuban) and French;French
Nicolas Niembsch Strehlenau;anon no;32;20;2;100;poesia;Austrian;German
Charles Baudelaire;Jose Juan Tablada;2;21;2;6;poesia;French;French
Jean Richepin;anon no;13;21;2;41;prosa;French;French
Scipio Sighele;anon no;15;21;2;47;prosa;Italian;Italian
Julien Roustain;E. Gonzalez Llorca;23;21;2;72;prosa;Unidentified;Unidentified
Eugenio de Castro;anon no;26;21;2;81;poesia;Portuguesee;Portuguese
Guy de Maupassant;Alberto Leduc;29;21;2;91;prosa;French;French
H. Ibsen;anon no;24;22;2;75;drama;Norwegian;Norwegian
Anatole France;anon no;15;23;3;47;prosa;French;French
A. Villiers de l'Isle Adam;Bernardo Couto Castillo;4;24;3;13;prosa;French;French
F. Nietzsche;anon no;5;24;3;16;prosa;German;German
M. Grivot de Grandcourt;Bernardo Couto Castillo;14;24;3;44;prosa;Unidentified;French
Paul Verlaine;Guillermo Valencia;16;24;3;50;poesia;French;French
Theodore de Banville;anon no;16;24;3;50;prosa;French;French
Andre Lavertujon;Porfirio Parra;2;25;3;13;prosa;French;French
Georges Rodenbach;anon no;11;25;3;69;prosa;Belgian;French
Stephane Mallarme;Guillermo Valencia;15;25;3;94;poesia;French;French
E. de Goncourt;anon si;16;25;3;100;prosa;French;French
no hay;no hay;;26;3;;no hay;no hay;no hay
no hay;no hay;;27;3;;no hay;no hay;no hay
Raoul Gineste;Balbino Davalos;1;28;3;6;poesia;French;French
E. and J. de Goncourt;anon si;9;29;3;56;prosa;French;French
Leconte de Lisle;Joaquin D. Casasus;10;29;3;63;poesia;French;French
J. H. Rosny;anon si;14;29;3;88;prosa;Belgian / French;French
Henri Lichtenberger;anon si;4;30;3;25;prosa;French;French
Pierre Lasserre;anon si;3;31;3;19;prosa;French;French
Remy de Gourmont;anon si;14;31;3;88;prosa;French;French
Maurice Pujo;anon si;4;32;3;25;prosa;French;French
Maurice Pujo;anon si;6;33;3;38;prosa;French;French
Various French Authors;anon si;2;34;3;13;prosa;French;French
L. Vernols;anon si;10;34;3;63;prosa;Unidentified;Unidentified
Georges Pellissier;anon no;12;34;3;75;prosa;French;French
Edmond Rostand;anon no;3;35;3;19;drama;French;French
B. H. Gausseron;anon si;3;36;3;19;prosa;French;French
Andre Gide;anon no;11;36;3;69;prosa;French;French
Andre Gide;anon si;6;37;3;38;prosa;French;French
Lucien Moreau;anon si;13;37;3;81;prosa;French;French
Edgar A. Poe;Ignacio Mariscal;1;38;3;6;poesia;US;English
Lucien Moreau;anon si;9;38;3;56;prosa;French;French
Antonio Fogazzaro;anon no;15;38;3;94;prosa;Italian;Italian
Antonio Fogazzaro;Alberto Leduc;6;39;3;38;prosa;Italian;Italian
Octave Mirbeau;Bernardo Couto Castillo;15;39;3;94;prosa;French;French
L. Maury;anon si;12;40;3;75;prosa;French;French
A. C. Swinburne;Balbino Davalos;15;40;3;94;poesia;English;English
Various Japanese Authors;Jose Juan Tablada;10;41;3;63;poesia;Japanese;Japanese
Charles Morice;anon si;16;41;3;100;prosa;French;French
Rudyard Kipling;Ramon Guerrero;5;42;3;31;prosa;English;English
Stuart Merrill;anon si;12;42;3;75;prosa;US;French
Charles Le Goffic;anon si;14;42;3;88;prosa;French;French
Rudyard Kipling;Ramon Guerrero;2;43;3;13;prosa;English;English
Maurice Pujo;anon si;5;43;3;31;prosa;French;French
Jean Lorrain;Francisco M. de Olaguibel;8;44;3;50;poesia;French;French
Rudyard Kipling;Ramon Guerrero;9;44;3;56;prosa;English;English
Jean Richepin;anon si;10;45;3;63;prosa;French;French
Various Japanese Authors;Jose Juan Tablada;5;46;3;31;poesia;Japanese;Japanese
Rene Maizeroy;anon si;8;46;3;50;prosa;French;French
Berlioz;anon no;16;46;3;100;prosa;French;French
Lucien Descaves;anon no;16;46;3;100;prosa;French;French
